symbol,asof_date,close,avg_turnover_60d
SPLPETRO,2026-08-07,701.4500122070312,98185443.31393534
SRF,2026-08-07,2615.0,1421647658.1192465
STARHEALTH,2026-08-07,569.8499755859375,393368956.5007075
SUMICHEM,2026-08-07,532.9500122070312,529485900.3780385
SUNDARMFIN,2026-08-07,4604.2001953125,378144397.9987223
SUNPHARMA,2026-08-07,1945.0,4669874398.615934
SUNTV,2026-08-07,486.6499938964844,177421505.12644604
SUPREMEIND,2026-08-07,3442.0,662160732.5964844
SUZLON,2026-08-07,48.150001525878906,4658571734.599472
SWANCORP,2026-08-07,308.04998779296875,294447049.85644585
SWIGGY,2026-08-07,280.75,4809786468.759975
SYNGENE,2026-08-07,403.70001220703125,521081609.3427363
SYRMA,2026-08-07,1424.699951171875,1803782348.3524556
TARIL,2026-08-07,297.79998779296875,1055642594.8422363
TATACAP,2026-08-07,370.29998779296875,1134285692.3663626
TATACHEM,2026-08-07,673.5499877929688,568654259.7710866
TATACOMM,2026-08-07,1755.199951171875,1329370673.0162497
TATACONSUM,2026-08-07,1082.300048828125,1975282825.9529846
TATAELXSI,2026-08-07,3781.0,1497497096.7522094
TATAINVEST,2026-08-07,693.6500244140625,268354706.3399068
TATAPOWER,2026-08-07,380.54998779296875,1869052613.5717993
TATASTEEL,2026-08-07,187.5500030517578,5592101763.35498
TATATECH,2026-08-07,872.7999877929688,1319597746.3792298
TBOTEK,2026-08-07,1610.9000244140625,392332278.0805074
TCS,2026-08-07,2452.699951171875,11464862578.487555
TECHM,2026-08-07,1635.0,4309175833.038395
TECHNOE,2026-08-07,1066.25,382116046.3984273
TEGA,2026-08-07,1625.699951171875,235146487.2751058
TEJASNET,2026-08-07,513.4500122070312,3348021612.2080865
TENNIND,2026-08-07,562.7999877929688,503992720.8321228
THELEELA,2026-08-07,518.0,228030470.20840555
THERMAX,2026-08-07,4059.89990234375,1507393703.4947917
TIINDIA,2026-08-07,2772.0,934099423.0350748
TIMKEN,2026-08-07,3351.0,262468880.75466716
TITAGARH,2026-08-07,847.4500122070312,701526364.9304352
